"Month","PUBG MOBILE Downloads","WeChat Downloads","Honor of Kings Downloads","腾讯视频-《扫毒风暴》全网独播 Downloads","QQ Downloads","Arena Breakout Downloads","Delta Force Downloads","WeCom-Work Communication Downloads","QQ音乐 - 让生活充满音乐 Downloads","Other Downloads"
"2024-01","8,112,721","6,270,707","2,778,977","4,604,584","2,938,423","2,437,324","0","1,410,474","1,875,801","38,721,376"
"2024-02","7,236,981","7,601,189","4,222,083","4,592,870","3,453,582","2,133,962","0","1,109,448","1,839,557","38,981,784"
"2024-03","8,733,655","6,093,227","3,879,092","3,896,524","2,619,757","1,967,468","0","1,911,789","1,806,727","30,690,804"
"2024-04","7,047,163","5,444,617","2,766,781","3,203,676","2,386,741","1,889,920","0","1,653,535","1,644,743","26,205,380"
"2024-05","6,927,749","6,039,908","2,546,331","4,859,525","2,559,565","1,820,159","0","1,796,582","1,752,120","31,758,012"
"2024-06","6,808,723","6,891,057","6,559,404","4,482,990","3,047,064","1,480,196","0","1,701,995","1,905,478","31,328,388"
"2024-07","7,608,476","5,336,255","10,486,825","3,974,964","2,738,087","1,820,323","0","1,825,204","1,686,572","33,577,497"
"2024-08","6,671,980","5,416,580","4,967,273","3,214,278","2,751,519","2,289,888","0","2,206,613","1,707,963","28,398,614"
"2024-09","6,274,472","5,564,707","3,926,367","2,973,160","2,353,862","1,691,861","1,712,383","2,499,630","1,639,158","25,635,831"
"2024-10","5,920,031","5,718,884","3,580,172","4,188,471","2,415,221","1,548,025","3,550,287","1,689,834","1,711,855","29,675,596"
"2024-11","6,546,162","4,708,355","3,435,827","4,761,955","1,997,330","1,693,720","1,177,510","1,657,736","1,637,164","30,463,930"
"2024-12","7,111,645","4,555,180","3,597,627","4,439,262","1,909,330","1,851,323","1,160,117","1,535,196","1,708,677","31,199,755"
"2025-01","8,685,501","5,347,890","5,088,381","3,926,403","2,233,181","2,110,536","1,345,697","1,226,474","1,573,497","30,379,886"
"2025-02","7,117,117","4,029,566","3,716,434","3,370,942","1,741,328","1,825,516","1,115,641","1,597,692","1,349,002","27,753,051"
"2025-03","8,639,819","3,770,624","3,790,070","3,045,807","1,587,234","2,032,562","1,338,524","1,957,709","1,362,466","34,606,118"
"2025-04","6,301,711","3,753,847","3,102,759","2,798,852","1,420,501","2,159,978","5,760,610","1,681,196","1,322,299","29,411,539"
"2025-05","6,301,405","4,023,573","3,115,874","3,194,610","1,553,542","2,583,290","7,234,987","1,542,706","1,955,186","28,186,390"
"2025-06","5,691,839","4,029,658","3,666,712","3,020,990","1,633,105","1,816,579","4,210,421","1,506,061","1,416,664","26,192,795"
"2025-07","6,127,678","3,524,845","4,367,733","2,442,882","1,373,868","1,777,269","4,460,474","1,416,949","1,111,033","24,058,831"
