"Month","Candy Crush Saga Revenue ($)","LinkedIn: Network Revenue ($)","Call of Duty Revenue ($)","Candy Crush Soda Saga Revenue ($)","Microsoft OneDrive Revenue ($)","Minecraft: Dream it Revenue ($)","Microsoft Word Revenue ($)","Diablo Immortal Revenue ($)","Farm Heroes Saga Revenue ($)","Other Revenue ($)"
"2024-01","100,786,972.81","47,295,940.17","35,687,434.59","20,253,483.56","8,953,310.22","8,085,595.33","7,458,655.07","6,697,150.58","5,386,171.94","26,369,706.00"
"2024-02","93,737,188.82","47,428,573.43","33,859,104.57","18,819,585.90","8,559,672.05","7,031,488.06","7,727,142.45","6,838,672.78","5,044,767.50","24,344,017.72"
"2024-03","102,701,723.86","48,679,307.32","26,532,092.14","19,562,111.00","9,537,767.86","7,241,780.27","8,528,741.04","6,128,597.57","5,522,071.96","30,111,807.25"
"2024-04","107,281,937.28","46,736,653.78","27,293,488.46","17,696,979.07","8,874,984.39","6,477,121.65","8,446,437.46","6,610,408.99","5,695,822.38","32,120,239.16"
"2024-05","97,088,690.60","49,273,052.14","28,771,866.08","17,967,172.75","9,264,760.39","8,296,911.29","8,892,458.70","5,275,102.35","5,933,188.25","29,725,449.31"
"2024-06","94,390,134.79","49,633,147.89","25,101,190.17","17,807,877.63","9,030,398.12","8,573,470.75","8,425,187.24","7,624,453.01","5,762,001.75","26,371,460.13"
"2024-07","91,731,148.96","51,220,080.65","34,458,645.69","17,770,440.53","9,410,687.63","10,170,437.21","8,450,255.64","6,046,000.36","6,009,008.86","27,423,722.85"
"2024-08","95,312,937.74","50,861,961.51","39,404,360.01","18,560,567.88","9,541,903.67","9,550,437.36","8,425,661.89","5,745,814.77","6,167,769.33","26,068,181.69"
"2024-09","91,219,347.75","50,091,635.11","24,889,821.29","17,022,336.90","9,470,625.50","8,135,959.89","8,366,472.11","6,167,716.53","5,921,646.64","28,856,137.32"
"2024-10","93,607,598.18","52,201,366.66","26,091,319.70","17,365,102.73","10,036,959.95","7,912,924.09","8,826,688.15","5,189,705.13","6,215,376.60","39,753,540.35"
"2024-11","89,313,933.86","50,386,409.15","28,570,455.64","17,811,470.24","9,442,281.10","7,688,264.75","8,538,640.91","5,811,759.11","5,980,600.42","34,956,206.07"
"2024-12","95,380,849.53","53,360,460.74","33,023,321.34","17,479,074.94","9,748,207.16","9,032,432.26","8,702,460.97","5,360,972.39","5,925,408.02","29,399,194.65"
"2025-01","97,637,005.68","54,232,509.74","37,779,394.13","17,610,262.51","9,739,590.74","10,630,336.21","8,407,194.30","5,804,732.28","5,720,776.15","25,633,147.83"
"2025-02","82,853,638.04","53,584,366.77","30,854,578.65","15,374,593.66","9,269,837.90","9,486,947.76","9,189,588.43","5,331,632.11","4,841,966.13","25,634,398.64"
"2025-03","97,295,577.75","57,990,842.81","28,706,843.70","17,205,605.99","11,725,475.75","11,215,295.07","11,677,467.00","5,860,933.84","5,454,590.99","32,929,778.73"
"2025-04","105,711,470.54","56,382,012.21","26,932,040.35","15,952,403.29","10,752,245.21","17,114,679.51","11,358,741.03","4,940,541.22","5,099,953.10","26,804,925.48"
"2025-05","100,803,217.68","58,396,979.33","30,240,333.12","15,936,612.94","11,498,641.79","13,780,471.70","11,704,041.11","5,749,307.57","5,122,695.61","27,582,323.23"
"2025-06","93,231,382.92","58,902,551.91","29,379,828.00","14,840,330.56","11,047,106.87","11,726,619.32","11,534,537.35","5,627,118.04","4,953,440.27","27,973,729.04"
"2025-07","75,963,818.33","51,872,348.29","30,481,716.10","12,948,652.05","9,650,498.27","10,123,326.84","10,001,212.48","5,171,993.81","4,506,091.18","27,261,823.99"
